stock_code,company_name,market,industry,required_window,missing_annual_years,missing_annual_count,missing_quarters,failed_periods,initial_reason,subagent_todo
6910,德鴻,TPEX,36,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6921,嘉雨思-創,TWSE,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6923,中台,TWSE,35,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6924,榮惠-KY創,TWSE,28,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6934,心誠鎂,TWSE,22,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6944,兆聯實業,TWSE,35,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6949,沛爾生醫-創,TWSE,22,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6951,青新-創,TWSE,35,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6952,大武山,TWSE,20,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6957,裕慶-KY,TWSE,20,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6958,日盛台駿,TWSE,20,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6962,奕力-KY,TWSE,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6965,中傑-KY,TWSE,37,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6969,成信實業*-創,TWSE,35,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6971,惠民實業,TPEX,35,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6982,大井泵浦,TPEX,05,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6988,威力暘-創,TWSE,12,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6994,富威電力,TWSE,35,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
6996,力領科技,TPEX,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7631,聚賢研發-創,TWSE,31,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7642,昶瑞機電,TPEX,05,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7704,明遠精密,TPEX,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7705,三商餐飲,TWSE,16,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7708,全家餐飲,TPEX,16,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7711,永擎,TWSE,25,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7712,博盛半導體,TPEX,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7713,威力德生醫,TPEX,22,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7717,萊德光電-KY,TPEX,27,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7721,微程式,TWSE,36,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7723,築間,TPEX,16,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7734,印能科技,TPEX,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7738,東聯互動,TPEX,36,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7740,熙特爾-創,TWSE,35,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7743,金利食安,TPEX,02,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7744,崴寶,TPEX,28,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7747,昕奇雲端,TPEX,36,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7749,意騰-KY,TWSE,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7750,新代,TWSE,05,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7751,竑騰,TPEX,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7753,星亞,TPEX,26,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7757,金色三麥,TPEX,16,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7760,享溫馨,TWSE,16,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7765,中華資安,TWSE,36,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7767,仁大資訊,TPEX,30,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7768,頌勝科技,TWSE,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7769,鴻勁,TWSE,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7770,君曜,TPEX,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7772,耀穎,TPEX,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023,3,2026Q2,2025Q1、2023Q4、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7777,能率亞洲,TPEX,20,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7780,大研生醫*,TWSE,02,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7782,光速火箭,TPEX,38,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7786,東方風能,TWSE,35,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7788,松川精密,TWSE,28,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7791,皇家可口,TWSE,02,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7792,安葆,TPEX,31,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7794,宏碁智新,TPEX,38,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7795,長廣,TWSE,28,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7799,禾榮科,TWSE,22,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7805,威聯通,TPEX,36,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7810,捷創科技,TPEX,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7811,民盛,TPEX,37,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7820,立盈,TPEX,35,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7821,神數,TWSE,12,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7822,倍利科,TWSE,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7823,奧義賽博-KY創,TWSE,36,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021,1,2026Q2,2025Q1、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7828,創新服務,TPEX,24,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023,3,2026Q2,2025Q1、2023Q4、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
7842,天能綠電,TPEX,35,2021-2025 年度年報 + 2026Q1/2026Q2 季報比對,2021、2022、2023,3,2026Q2,2025Q1、2023Q4、2021Q4,初步推論：早期年度歷史不足，可能為太新、轉板或代號沿革需查證,查官方 MOPS、公司重大訊息、上市櫃/轉板日期與代號沿革，確認缺資料原因；若合法來源可補，回填官方歷史快取或 fundamentals_import.csv。
